outcome,timestamp,time_elapsed,student_id,module_id,module_type,history_correct,history_wrong,exponential,wrong_streak,right_streak,average_outcome,average_time
True,1171797483,15,2,3,assessment,11,2,3.98784209306,2,7,0.846153846154,42356.0833333,-0.63
True,1171797497,14,2,3,assessment,12,2,4.19027367444,2,7,0.857142857143,39099.0769231,-0.63
True,1171797509,12,2,3,assessment,13,2,4.35221893956,2,7,0.866666666667,36307.2857143,-0.63
True,1171797522,13,2,3,assessment,14,2,4.48177515164,2,7,0.875,33887.6,-0.63
True,1171797536,14,2,3,assessment,15,2,4.58542012132,2,8,0.882352941176,31770.4375,-0.63
True,1171797555,19,2,3,assessment,16,2,4.66833609705,2,9,0.888888888889,29902.4117647,-0.63
True,1171797568,13,2,3,assessment,17,2,4.73466887764,2,10,0.894736842105,28242.2222222,-0.63
True,1171797583,15,2,3,assessment,18,2,4.78773510211,2,11,0.9,26756.4736842,-0.63
True,1171797717,134,2,3,assessment,19,2,4.83018808169,2,12,0.904761904762,25419.4,-0.63
True,1171797731,14,2,3,assessment,20,2,4.86415046535,2,13,0.909090909091,24215.3333333,-0.63
False,1171797744,13,2,3,assessment,21,2,4.89132037228,2,14,0.913043478261,23115.2727273,-0.63
True,1171797755,11,2,3,assessment,21,3,3.91305629783,2,14,0.875,22110.826087,-0.63
True,1171797766,11,2,3,assessment,22,3,4.13044503826,2,14,0.88,21190.0,-0.63
True,1171797779,13,2,3,assessment,23,3,4.30435603061,2,14,0.884615384615,20342.84,-0.63
True,1171797792,13,2,3,assessment,24,3,4.44348482449,2,14,0.888888888889,19560.9230769,-0.63
True,1171797807,15,2,3,assessment,25,3,4.55478785959,2,14,0.892857142857,18836.9259259,-0.63
True,1171797821,14,2,3,assessment,26,3,4.64383028767,2,14,0.896551724138,18164.7142857,-0.63
True,1171797836,15,2,3,assessment,27,3,4.71506423014,2,14,0.9,17538.8275862,-0.63
True,1171797848,12,2,3,assessment,28,3,4.77205138411,2,14,0.903225806452,16954.7,-0.63
True,1171797883,35,2,3,assessment,29,3,4.81764110729,2,14,0.90625,16408.1612903,-0.63
