Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Default)	Opportunity (Default)	Predicted Error Rate (Default)	KC (Single-KC)	Opportunity (Single-KC)	Predicted Error Rate (Single-KC)	KC (Unique-step)	Opportunity (Unique-step)	Predicted Error Rate (Unique-step)
61	Control	1_1	Unit 12	Wind-force	4	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Wind-force	4	0.5821	Single-KC	61	0.5236	KC54	4	0.5821
62	Control	1_1	Unit 12	Solitude	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Solitude	3	0.5961	Single-KC	62	0.5236	KC56	3	0.5961
63	Control	1_1	Unit 12	Solitude	4	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Solitude	4	0.5961	Single-KC	63	0.5236	KC56	4	0.5961
64	Control	1_1	Unit 12	Purpose	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Purpose	3	0.6172	Single-KC	64	0.5236	KC24	3	0.6172
65	Control	1_1	Unit 12	Purpose	4	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Purpose	4	0.6172	Single-KC	65	0.5236	KC24	4	0.6172
66	Control	1_1	Unit 12	Global_warming	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25	1970-01-18 03:05:25	1970-01-18 03:05:25	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Global_warming	3	0.3824	Single-KC	66	0.5236	KC53	3	0.3824
67	Control	1_1	Unit 12	Global_warming	4	1	1970-01-18 03:05:24	1970-01-18 03:05:25	1970-01-18 03:05:25	1970-01-18 03:05:25	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Global_warming	4	0.3824	Single-KC	67	0.5236	KC53	4	0.3824
68	Control	1_1	Unit 12	International_conference	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	International_conference	3	0.6373	Single-KC	68	0.5236	KC37	3	0.6373
69	Control	1_1	Unit 12	International_conference	4	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	International_conference	4	0.6373	Single-KC	69	0.5236	KC37	4	0.6373
70	Control	1_1	Unit 12	Solar_heat	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Solar_heat	3	0.6094	Single-KC	70	0.5236	KC4	3	0.6094
71	Control	1_1	Unit 12	Solar_heat	4	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Solar_heat	4	0.6094	Single-KC	71	0.5236	KC4	4	0.6094
72	Control	1_1	Unit 12	Solar_heat	5	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Solar_heat	5	0.6094	Single-KC	72	0.5236	KC4	5	0.6094
73	Control	1_1	Unit 12	Raise_children	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Raise_children	3	0.4145	Single-KC	73	0.5236	KC39	3	0.4145
74	Control	1_1	Unit 12	Raise_children	4	1	1970-01-18 03:05:24	1970-01-18 03:05:25	1970-01-18 03:05:25	1970-01-18 03:05:25	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Raise_children	4	0.4145	Single-KC	74	0.5236	KC39	4	0.4145
75	Control	1_1	Unit 12	Relation_to	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Relation_to	3	0.6722	Single-KC	75	0.5236	KC11	3	0.6722
76	Control	1_1	Unit 12	Relation_to	4	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Relation_to	4	0.6722	Single-KC	76	0.5236	KC11	4	0.6722
77	Control	1_1	Unit 12	Relation_to	5	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Relation_to	5	0.6722	Single-KC	77	0.5236	KC11	5	0.6722
78	Control	1_1	Unit 12	National_resource	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	National_resource	3	0.6918	Single-KC	78	0.5236	KC8	3	0.6918
79	Control	1_1	Unit 12	Hard_rubbish	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Hard_rubbish	3	0.5879	Single-KC	79	0.5236	KC34	3	0.5879
80	Control	1_1	Unit 12	Disposable	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Disposable	3	0.6427	Single-KC	80	0.5236	KC40	3	0.6427
81	Control	1_1	Unit 12	Quarrel	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Quarrel	3	0.6154	Single-KC	81	0.5236	KC12	3	0.6154
